Start time: 1725071457
MPI Initialized         : MPI_THREAD_FUNNELED
Copyright (c) 2016
Lawrence Livermore National Security, LLC
All Rights Reserved
Quicksilver Version     : 2023-Aug-18-15:12:10
Quicksilver Git Hash    : eb68bb8d6fc53de1f65011d4e79ff2ed0dd60f3b
MPI Version             : 3.1
Number of MPI ranks     : 2048
Number of OpenMP Threads: 3
Number of OpenMP CPUs   : 24

Simulation:
   dt: 2e-09
   fMax: 0.1
   inputFile: /opt/quicksilver/Examples/CORAL2_Benchmark/Problem1/Coral2_P1.inp
   energySpectrum: 
   boundaryCondition: reflect
   loadBalance: 0
   cycleTimers: 0
   debugThreads: 0
   lx: 128
   ly: 128
   lz: 128
   nParticles: 671088640
   batchSize: 0
   nBatches: 10
   nSteps: 100
   nx: 128
   ny: 128
   nz: 128
   seed: 1029384756
   xDom: 16
   yDom: 16
   zDom: 8
   eMax: 20
   eMin: 1e-09
   nGroups: 230
   lowWeightCutoff: 0.001
   bTally: 1
   fTally: 1
   cTally: 1
   coralBenchmark: 1
   crossSectionsOut:

Geometry:
   material: sourceMaterial
   shape: brick
   xMax: 10000
   xMin: 0
   yMax: 10000
   yMin: 0
   zMax: 10000
   zMin: 0

Material:
   name: sourceMaterial
   mass: 12.011
   nIsotopes: 20
   nReactions: 9
   sourceRate: 1e+10
   totalCrossSection: 1.5
   absorptionCrossSection: flat
   fissionCrossSection: flat
   scatteringCrossSection: flat
   absorptionCrossSectionRatio: 0.04
   fissionCrossSectionRatio: 0.05
   scatteringCrossSectionRatio: 1

CrossSection:
   name: flat
   A: 0
   B: 0
   C: 0
   D: 0
   E: 1
   nuBar: 1.6
Building partition 0
done building
Building MC_Domain 0
Finished initMesh
cycle           start       source           rr        split       absorb      scatter      fission      produce      collisn       escape       census      num_seg   scalar_flux      cycleInit  cycleTracking  cycleFinalize
       0            0     67108864            0    603979776    136623031   3415421193    170761421    273218177   3722805645            0    636922365   8082614536  1.551181e+08   4.302700e-02   1.688690e+00   7.790000e-04
       1    636922365     67108864     32936323            0    239368909   5984103685    299220014    478744714   6522692608            0    611250697  13656603014  4.247054e+08   3.462800e-02   3.552189e+00   6.530000e-04
       2    611250697     67108864      7271404            0    228645479   5716656509    285836582    457335217   6231138570            0    613941313  13076254464  6.568420e+08   3.732400e-02   3.290635e+00   5.500000e-04
       3    613941313     67108864      9962158            0    224821866   5620052950    281006792    449606693   6125881608            0    614866054  12866818490  8.636619e+08   3.808700e-02   3.153751e+00   5.550000e-04
       4    614866054     67108864     10883736            0    222869630   5571910086    278616625    445797511   6073396341            0    615402438  12762321046  1.050081e+09   2.829600e-02   3.173468e+00   5.510000e-04
       5    615402438     67108864     11421118            0    221745710   5543654320    277171574    443470487   6042571604            0    615643387  12700801503  1.219213e+09   3.094100e-02   3.184404e+00   4.200000e-04
       6    615643387     67108864     11662207            0    221023822   5525720977    276285587    442064451   6023030386            0    615845086  12661747504  1.373111e+09   2.881800e-02   3.089040e+00   3.680000e-04
       7    615845086     67108864     11860355            0    220530762   5512909180    275638486    441019285   6009078428            0    615943632  12634061947  1.513320e+09   3.204300e-02   3.097869e+00   5.170000e-04
       8    615943632     67108864     11962350            0    220148199   5504036172    275169681    440279914   5999354052            0    616052180  12614743342  1.641304e+09   2.847100e-02   3.068854e+00   1.720000e-04
       9    616052180     67108864     12071521            0    219892225   5496946992    274844438    439768042   5991683655            0    616120902  12599440622  1.758228e+09   2.898100e-02   3.096080e+00   2.890000e-04
      10    616120902     67108864     12135361            0    219657531   5491933640    274592502    439347187   5986183673            0    616191559  12588683039  1.865300e+09   3.094500e-02   3.080365e+00   2.400000e-04
