Start time: 1724889176
MPI Initialized         : MPI_THREAD_FUNNELED
Copyright (c) 2016
Lawrence Livermore National Security, LLC
All Rights Reserved
Quicksilver Version     : 2023-Aug-18-15:12:10
Quicksilver Git Hash    : eb68bb8d6fc53de1f65011d4e79ff2ed0dd60f3b
MPI Version             : 3.1
Number of MPI ranks     : 2048
Number of OpenMP Threads: 3
Number of OpenMP CPUs   : 3

Simulation:
   dt: 2e-09
   fMax: 0.1
   inputFile: /opt/quicksilver/Examples/CORAL2_Benchmark/Problem1/Coral2_P1.inp
   energySpectrum: 
   boundaryCondition: reflect
   loadBalance: 0
   cycleTimers: 0
   debugThreads: 0
   lx: 128
   ly: 128
   lz: 128
   nParticles: 671088640
   batchSize: 0
   nBatches: 10
   nSteps: 100
   nx: 128
   ny: 128
   nz: 128
   seed: 1029384756
   xDom: 16
   yDom: 16
   zDom: 8
   eMax: 20
   eMin: 1e-09
   nGroups: 230
   lowWeightCutoff: 0.001
   bTally: 1
   fTally: 1
   cTally: 1
   coralBenchmark: 1
   crossSectionsOut:

Geometry:
   material: sourceMaterial
   shape: brick
   xMax: 10000
   xMin: 0
   yMax: 10000
   yMin: 0
   zMax: 10000
   zMin: 0

Material:
   name: sourceMaterial
   mass: 12.011
   nIsotopes: 20
   nReactions: 9
   sourceRate: 1e+10
   totalCrossSection: 1.5
   absorptionCrossSection: flat
   fissionCrossSection: flat
   scatteringCrossSection: flat
   absorptionCrossSectionRatio: 0.04
   fissionCrossSectionRatio: 0.05
   scatteringCrossSectionRatio: 1

CrossSection:
   name: flat
   A: 0
   B: 0
   C: 0
   D: 0
   E: 1
   nuBar: 1.6
Building partition 0
done building
Building MC_Domain 0
Finished initMesh
cycle           start       source           rr        split       absorb      scatter      fission      produce      collisn       escape       census      num_seg   scalar_flux      cycleInit  cycleTracking  cycleFinalize
       0            0     67108864            0    603979776    136623031   3415421193    170761421    273218177   3722805645            0    636922365   8082614536  1.551181e+08   2.862400e-02   2.166321e+00   6.570000e-04
       1    636922365     67108864     32936323            0    239368909   5984103685    299220014    478744714   6522692608            0    611250697  13656603014  4.247054e+08   2.849200e-02   3.968957e+00   1.542000e-03
       2    611250697     67108864      7271404            0    228645479   5716656509    285836582    457335217   6231138570            0    613941313  13076254464  6.568420e+08   2.557500e-02   3.696934e+00   1.076000e-03
       3    613941313     67108864      9962158            0    224821866   5620052950    281006792    449606693   6125881608            0    614866054  12866818490  8.636619e+08   2.743300e-02   3.676155e+00   1.016000e-03
       4    614866054     67108864     10883736            0    222869630   5571910086    278616625    445797511   6073396341            0    615402438  12762321046  1.050081e+09   2.799200e-02   3.564481e+00   1.332000e-03
       5    615402438     67108864     11421118            0    221745710   5543654320    277171574    443470487   6042571604            0    615643387  12700801503  1.219213e+09   2.663200e-02   3.573637e+00   1.469000e-03
       6    615643387     67108864     11662207            0    221023822   5525720977    276285587    442064451   6023030386            0    615845086  12661747504  1.373111e+09   2.709200e-02   3.518194e+00   1.702000e-03
       7    615845086     67108864     11860355            0    220530762   5512909180    275638486    441019285   6009078428            0    615943632  12634061947  1.513320e+09   2.847400e-02   3.535802e+00   9.990000e-04
       8    615943632     67108864     11962350            0    220148199   5504036172    275169681    440279914   5999354052            0    616052180  12614743342  1.641304e+09   2.660300e-02   3.442146e+00   1.146000e-03
       9    616052180     67108864     12071521            0    219892225   5496946992    274844438    439768042   5991683655            0    616120902  12599440622  1.758228e+09   2.652200e-02   3.526595e+00   1.802000e-03
      10    616120902     67108864     12135361            0    219657531   5491933640    274592502    439347187   5986183673            0    616191559  12588683039  1.865300e+09   2.617000e-02   3.489371e+00   1.507000e-03
      11    616191559     67108864     12215301            0    219510880   5487603206    274390717    439026019   5981504803            0    616209544  12579220249  1.963227e+09   2.767900e-02   3.450460e+00   9.170000e-04
      12    616209544     67108864     12230389            0    219376432   5484233477    274198696    438720740   5977808605            0    616233631  12571839272  2.052772e+09   2.633100e-02   3.455018e+00   1.196000e-03
      13    616233631     67108864     12252778            0    219248203   5481245635    274064381    438507430   5974558219            0    616284563  12565394817  2.134758e+09   2.590300e-02   3.476880e+00   1.343000e-03
      14    616284563     67108864     12301853            0    219156988   5479175425    273956179    438338873   5972288592            0    616317280  12560826765  2.209948e+09   2.529600e-02   3.469380e+00   1.152000e-03
      15    616317280     67108864     12339133            0    219067672   5477105263    273854516    438174815   5970027451            0    616339638  12556339247  2.278813e+09   2.622000e-02   3.443321e+00   1.616000e-03
      16    616339638     67108864     12365647            0    218999100   5475373102    273762192    438027490   5968134394            0    616349053  12552488348  2.341951e+09   2.889400e-02   3.477884e+00   1.786000e-03
      17    616349053     67108864     12371092            0    218962765   5473742880    273682140    437904313   5966387785            0    616346233  12549127700  2.399698e+09   2.656200e-02   3.433038e+00   1.492000e-03
      18    616346233     67108864     12360568            0    218904061   5472678176    273657797    437867749   5965240034            0    616400420  12546822966  2.452756e+09   2.613700e-02   3.450418e+00   1.650000e-03
      19    616400420     67108864     12421800            0    218843826   5471413930    273557875    437686279   5963815631            0    616372062  12543991828  2.501393e+09   2.586900e-02   3.486809e+00   1.369000e-03
      20    616372062     67108864     12397223            0    218790991   5470102276    273506328    437590496   5962399595            0    616376880  12541123088  2.545792e+09   2.517200e-02   3.465687e+00   1.794000e-03
      21    616376880     67108864     12399997            0    218756326   5469447761    273487994    437589444   5961692081            0    616430871  12539828652  2.586746e+09   2.668500e-02   3.424365e+00   9.230000e-04
      22    616430871     67108864     12453001            0    218715780   5468944937    273477523    437575834   5961138240            0    616469265  12538750703  2.624444e+09   2.678300e-02   3.410947e+00   1.876000e-03
      23    616469265     67108864     12492355            0    218723184   5467649937    273375267    437420502   5959748388            0    616407825  12536097436  2.658896e+09   2.823100e-02   3.423894e+00   1.134000e-03
      24    616407825     67108864     12430761            0    218685190   5467443552    273363139    437397557   5959491881            0    616435156  12535423498  2.690469e+09   2.580200e-02   3.431870e+00   1.410000e-03
      25    616435156     67108864     12462681            0    218658326   5466449761    273296024    437276998   5958404111            0    616403987  12533112790  2.719262e+09   2.647100e-02   3.468148e+00   1.410000e-03
      26    616403987     67108864     12422655            0    218669454   5465836462    273285164    437266825   5957791080            0    616402403  12531858586  2.745779e+09   2.663600e-02   3.472996e+00   1.380000e-03
      27    616402403     67108864     12421663            0    218615358   5465058483    273236281    437171228   5956910122            0    616409193  12530506887  2.770021e+09   2.649800e-02   3.425043e+00   1.089000e-03
